point	resident	moving	density	controlled_p99_ms	valid	30hz	60hz
00pct-moving	10000	0	0.0	20.835238479999997	True	PASS	FAIL
50pct-moving	10000	5000	0.5	30.878107800000002	True	PASS	FAIL
100pct-moving	10000	10000	1.0	37.628799	True	FAIL	FAIL
