point	resident	moving	density	controlled_p99_ms	valid	30hz	60hz
00pct-moving	10000	0	0.0	19.951746319999998	True	PASS	FAIL
50pct-moving	10000	5000	0.5	29.80675185	True	PASS	FAIL
100pct-moving	10000	10000	1.0	35.22612710000001	True	FAIL	FAIL
