density	control_ctrl_avg_ms	treatment_ctrl_avg_ms	ctrl_avg_delta_ms	control_ctrl_p95_ms	treatment_ctrl_p95_ms	control_ctrl_p99_ms	treatment_ctrl_p99_ms	control_vision_ms	treatment_vision_ms	saved_us_visibility_call	position_rate_delta_pct	dirty_rate_delta_pct	scan_rate_delta_pct	geometry_call_rate_delta_pct	geometry_hit_rate_delta_pp	pass
50pct-moving	27.247804965517243	26.991819835227272	-0.2559851302899716	28.50320615	28.455136	30.80316353	31.145573750000004	2.487373304597701	2.1579483977272726	1.0789260753242322	-0.040062263885951396	0.025633695766228506	0.025633695766228506	0.025633695766228506	-0.004634115459367649	True
100pct-moving	35.96854673880597	35.18513730147059	-0.7834094373353793	37.85579435	36.88723025	39.09742874999999	41.804549850000015	5.629120694029851	4.759813125	1.0245620477633315	-0.0007151337512426185	-0.03725468231039948	-0.03725468231039948	-0.03725468231039948	0.008202484380120723	True
